response,ground_truth
No.,Yes
Yes.,Yes
A,A.
A,A.
A,A.
A,A.
None,"Tropical-storm warning only in effect from Sandy Bay Sirpi, Nicaragua, to Punta Castilla, Honduras"
None,"Tropical Storm Warning in effect for Sandy Bay Sirpi, Nicaragua, to Punta Castilla, Honduras."
None,Same as watch area – Central America (Nicaragua–Honduras coast)
None,Same as watch area – Caribbean coast of Nicaragua and Honduras (no U.S. coast warnings yet).
"12.5N, 82.5W","12.6N, 82.6W"
"12.2N, 81.9W","12.2N, 81.9W"
NW,NW
NW,NW
7,7 mph
7,7 mph
"Caribbean, Yucatan, Eastern Mexico, Western Cuba, Florida, Southeastern United States",Northern Gulf Coast from southeast Louisiana eastward to the Florida Panhandle is within the 5-day cone
"Yucatán Peninsula, Gulf Coast, Eastern Seaboard",Entire central Gulf Coast from southeast Louisiana eastward to the Florida Panhandle is shown inside the 5-day cone.
NEW IBERIA LA,NEW ORLEANS LA
NEW ORLEANS LA,BURAS LA
"To determine the cumulative probability of 34-kt wind arrival at South Louisiana, LA, Port of within the next 5 days, we need to sum the probabilities for the relevant locations. The relevant locations in South Louisiana include:

- Morgan City LA
- New Iberia LA
- Lafayette LA
- New Orleans LA
- Baton Rouge LA
- Cameron LA
- Lake Charles LA

Summing the probabilities for 34-kt wind arrival for these locations:

- Morgan City LA, New Iberia LA, Lafayette LA, New Orleans LA, Baton Rouge LA, Cameron LA, Cameron LA, Lake Charles LA:

- Morgan City LA: 3 + 13 = 16
- New Iberia LA: 2
- Lafayette LA: 1
- New Orleans LA: 2
- Baton Rouge LA: 2
- Cameron LA: 1
- Lake Charles LA: 4

Summing these probabilities: 16 + 2 + 1 + 2 + 2 + 1 + 4 = 28

So, the cumulative probability is 28.",21%
0.14,21%
