response,ground_truth
Yes,No
A,A.
A,A.
None,None
None,None
"32.6N, 76.5W","32.6N, 76.5W"
NE,NE
12,12 mph
Bermuda,Mainly the Outer Banks of North Carolina for surf and rip-currents; offshore waters of the western Atlantic
Cape Hatteras,CAPE HATTERAS NC
"The data provided does not include information about Canaveral Port District, FL. Therefore, the answer is 0.",≈5%
0,<1%
N/A,≈12 h
N/A,N/A
N/A,3% (onset) / 5% (cumulative)
D,C.
North Carolina to New Jersey,Mainly the Outer Banks of North Carolina for surf and rip-currents; offshore waters of the western Atlantic
A,A.
C,C.
New England,Mainly the Outer Banks of North Carolina for surf and rip-currents; offshore waters of the western Atlantic
72,N/A
78,0
D,D.
B,A.
D,A.
No,No
D,A.
84,N/A
D,D.
B,B.
B,B.
Rip Currents,Minor increase in long-period swells and rip-current risk along the east-central Florida beaches.
"```json
{
  ""gale_probability"": {
    ""in 12h"": 3,
    ""in 24h"": 5,
    ""in 48h"": 5,
    ""in 72h"": 5,
    ""in 96h"": 5
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
05-09-2020,8/29/2020
02-09-2020,8/29/2020
04-09-2020,8/29/2020
3,2
0,2.0
None,1.0
A. None,B.
