response,ground_truth
Yes,No
Yes,Yes
Yes,No
No,No
Yes,No
Yes.,No
Yes,No
Yes,No
Yes,No
No,No
B,A.
A,A.
A,A.
B,A.
C. Hurricane,A.
B,A.
B,A.
B. Tropical Storm,A.
A,A.
B,A.
C. Hurricane,A.
C. Hurricane,A.
B,A.
B,A.
B,A.
C. Hurricane,A.
C. Hurricane,A.
B,A.
A,A.
B,A.
Hatteras to Sandy Hook,Edisto Beach SC to South Santee River SC (Storm Surge Watch) and Edisto Beach SC to South Santee River SC (Hurricane Watch)
South Santee River to Fenwick Island.,Hurricane Watch from Edisto Beach SC to South Santee River SC; Tropical Storm Warning south of South Santee River to Edisto Beach SC
North Carolina to Virginia,Hurricane Watch: Edisto Beach SC to South Santee River SC
None,Hurricane Watch: Edisto Beach SC to South Santee River SC
None,Hurricane Watch: Edisto Beach SC to South Santee River SC
None,Storm Surge Watch and Hurricane Watch extend from Edisto Beach SC to South Santee River SC and north of Duck NC to the NC/VA border
None,"Edisto Beach SC to the NC/VA border, including Albemarle and Pamlico Sounds"
None,
Charleston to Fenwick Island,None issued as of Advisory 44
North Carolina to New England,
None,South Santee River SC to Duck NC including Albemarle & Pamlico Sounds (Hurricane Warning); South Santee River SC to Duck NC (Storm Surge Warning); Edisto Beach SC to South Santee River SC (Tropical Storm Warning)
North Carolina to New York.,"Hurricane Warning from South Santee River SC to Duck NC, including Albemarle and Pamlico Sounds; Storm Surge Warning South Santee River SC to Duck NC"
None,Hurricane Warning: South Santee River SC to Duck NC; Tropical-Storm Warning north of Duck NC to Cape Charles Light VA
"Charleston, South Carolina to Cape Hatteras, North Carolina","Hurricane Warning: South Santee River SC to Duck NC, including Albemarle and Pamlico Sounds; Storm Surge Warning for the same stretch"
North Carolina to Maryland,Hurricane Warning: South Santee River SC to Duck NC including Albemarle and Pamlico Sounds; Storm-surge warning for the same stretch
North Carolina to Virginia,Storm Surge and Hurricane Warnings from South Santee River SC to Duck NC including Albemarle and Pamlico Sounds
None,None
None,
None,None issued as of Advisory 44
North Carolina to Maryland,
"34.1N, 77.2W","34.2N, 77.4W"
"33.6N, 76.0W","33.7N, 76.2W"
"32.5N, 74.3W","32.8N, 74.7W"
"30.4N, 71.8W","30.9N, 72.5W"
"28.5N, 69.5W","29.0N, 70.1W"
"27.1N, 66.2W","27.5N, 67.1W"
"25.9N, 62.4W","26.4N, 64.1W"
"25.0N, 60.0W","25.4N, 61.1W"
"24.6N, 57.7W","24.9N, 58.9W"
"24.4N, 56.3W","24.4N, 57.0W"
WNW,WNW
NW,WNW
NW,NW
NW,NW
WNW,WNW
WNW,WNW
WWN,WNW
W,WNW
W,WNW
W,W
6,6 mph
10,5 mph
17,15 mph
16,16 mph
17,17 mph
17,17 mph
13,15 mph
13,13 mph
7,9 mph
6,7 mph
"Carolinas, Mid-Atlantic",Primary impacts focused on North Carolina and northern South Carolina coasts; secondary effects possible along the Georgia coast from swells and outer rainbands.
Carolinas,"Coasts of North Carolina, South Carolina, and portions of southeast Virginia; minor peripheral effects possible along the Georgia coast"
North Carolina,primarily North Carolina and northern South Carolina coasts
"Carolinas, Mid-Atlantic","Southeastern U.S. coastline from northern Florida through the Carolinas and into Virginia, with greatest effects along the Carolina coast"
"North Carolina

South Carolina

Georgia",Portions of the South and North Carolina coasts and the Mid-Atlantic coastline
"Carolinas, Mid-Atlantic",Primary impact expected along the North Carolina and northern South Carolina coasts; Georgia coast mainly experiences swells and peripheral rainfall
"Carolinas, Mid-Atlantic","Coasts of South Carolina and North Carolina, with effects extending into Mid-Atlantic states"
"Carolinas
Mid-Atlantic",South Carolina through North Carolina with peripheral effects southward to coastal Georgia
"North Carolina, Virginia, Maryland, Delaware",Southeastern U.S. coast from Georgia northward through the Carolinas and into the Mid-Atlantic
Carolinas,"Southeastern U.S. coast from Georgia northward to Virginia, with greatest risk from South Carolina through North Carolina"
Savannah GA,SAVANNAH GA
Savannah GA,KINGS BAY GA
KINGS BAY GA,KINGS BAY GA
KINGS BAY GA,KINGS BAY GA
SAVANNAH GA,KINGS BAY GA
SAVANNAH GA,KINGS BAY GA
Savannah GA,KINGS BAY GA
SAVANNAH GA,SAVANNAH GA
SAVANNAH GA,KINGS BAY GA
SAVANNAH GA,KINGS BAY GA
99,30%
0.0,14%
13,26%
0.3,28%
0.0,22%
0.00,8%
"The data provided does not include specific information for the Port of Brunswick, GA. Therefore, I cannot determine the cumulative probability of 34-kt wind arrival at that location based on the given information.",5%
"The provided data does not include information for the Port of Brunswick, GA. Therefore, I cannot calculate the cumulative probability of 34-kt wind arrival for that location based on the given data.",26%
"The data provided does not include information for the Port of Brunswick, GA. Therefore, it is not possible to determine the cumulative probability of 34-kt wind arrival at the Port of Brunswick, GA within the next 5 days from the given data.",6%
0.0,11%
"The provided data does not include information for the Port of Brunswick, GA. Therefore, it is not possible to determine the cumulative probability of 50-kt wind arrival at that location from the given data.",0%
0.0,0%
"The provided data does not include specific information for the Port of Brunswick, GA. Therefore, I cannot determine the cumulative probability of 50-kt wind arrival at that location based on the given data.",5%
0.02,6%
"The table does not include data for the Port of Brunswick, GA. Therefore, it is not possible to provide the cumulative probability of 50-kt wind arrival at that location based on the given data.",4%
0.00,0%
"The provided data does not include information for the Port of Brunswick, GA. Therefore, I cannot provide the cumulative probability of 50-kt wind arrival for that location.",<3%
0.02,6%
"The data provided does not include specific information for the Port of Brunswick, GA. Therefore, I cannot calculate the cumulative probability of 50-kt wind arrival for that location based on the given information.",1%
