response,ground_truth
No,No
Yes,No
Yes,No
Yes,No
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
None,None in effect north of Florida
Florida to South Carolina,No watches posted north of the Carolinas; current watches confined to parts of the Gulf Coast.
Florida coast from Jupiter Inlet to Bonita Beach,None
FLORIDA to SOUTH CAROLINA,"Mississippi/Alabama border eastward to Yankeetown, FL"
None,Tropical-storm warnings Navarre FL to Yankeetown FL; Storm-surge warnings Indian Pass FL to Clearwater Beach FL
None,"Tropical Storm Warning from the Mississippi/Alabama border to Yankeetown, FL and from Grand Isle, LA to the Mouth of the Pearl River; Storm Surge Warning Indian Pass, FL to Clearwater Beach, FL."
None,Tropical-storm warnings from Grand Isle LA to the Mouth of the Pearl River and from the Mississippi/Alabama border eastward to Yankeetown FL; storm-surge warning Indian Pass FL to Clearwater Beach FL
None,"Grand Isle, LA to the mouth of Pearl River and eastward to the Mississippi/Alabama border, and west Florida coast to the Ochlockonee River"
"27.6N, 87.6W","28.8N, 86.3W"
"25.1N, 91.2W","26.3N, 89.5W"
"23.3N, 94.6W","24.1N, 93.2W"
"22.4N, 95.7W","22.6N, 95.5W"
NE,NE
NE,NE
NE,NE
N,N
60,20 mph
40,22 mph
40,12 mph
8,7 mph
"Florida, Georgia, South Carolina, North Carolina, Virginia","Florida Panhandle, northern & central Florida, Georgia and the Carolinas, then offshore of the Mid-Atlantic (including waters east of New Jersey)"
"FL, GA, SC, NC, VA, DE, MD, NJ, NY","Northern Gulf Coast, then inland across GA/SC/NC before emerging into the Atlantic south of the Mid-Atlantic states."
"Florida, Georgia, South Carolina, North Carolina, Virginia, Maryland, Delaware, New Jersey, New York, Connecticut, Rhode Island, Massachusetts","Northern Gulf Coast, Florida Panhandle, then the Atlantic coasts of GA, SC, NC, and the mid-Atlantic states"
"Florida, Georgia, South Carolina, North Carolina, Virginia, Bermuda","Northern Gulf Coast, north-central Florida, Georgia and the Carolinas; Mid-Atlantic states may see peripheral effects late this weekend"
None,NORFOLK VA
CAPE HENLOPEN,CAPE HENLOPEN DE
CAPE HENLOPEN,CAPE HENLOPEN DE
DOVER DE,DOVER DE
0,<5 %
0,3%
X,5%
X,3%
0,<1 %
0,0%
X,<1%
0,0%
N/A,48–60
N/A,48
N/A,72
N/A,120
N/A,N/A
N/A,N/A
N/A,N/A
N/A,N/A
N/A,≈4 % (value at Norfolk – Philadelphia would be lower)
N/A,3%
N/A,5%
N/A,3%
B,D.
C,B.
B,D.
B,D.
Navarre Florida to Yankeetown Florida,"Florida Panhandle, northern & central Florida, Georgia and the Carolinas, then offshore of the Mid-Atlantic (including waters east of New Jersey)"
Mississippi/Alabama border to Yankeetown Florida,"Northern Gulf Coast, then inland across GA/SC/NC before emerging into the Atlantic south of the Mid-Atlantic states."
"Mississippi/Alabama border to Yankeetown Florida
Grand Isle Louisiana to the Mouth of the Pearl River","Northern Gulf Coast, Florida Panhandle, then the Atlantic coasts of GA, SC, NC, and the mid-Atlantic states"
"Mississippi/Alabama border to the Ochlockonee River, Florida","Northern Gulf Coast, north-central Florida, Georgia and the Carolinas; Mid-Atlantic states may see peripheral effects late this weekend"
B,B.
B,B.
A,B.
A,B.
D,B.
B,A.
D,A.
C,B.
Florida Panhandle,"Florida Panhandle, northern & central Florida, Georgia and the Carolinas, then offshore of the Mid-Atlantic (including waters east of New Jersey)"
Florida,"Northern Gulf Coast, then inland across GA/SC/NC before emerging into the Atlantic south of the Mid-Atlantic states."
Gulf Coast,"Northern Gulf Coast, Florida Panhandle, then the Atlantic coasts of GA, SC, NC, and the mid-Atlantic states"
Florida,"Northern Gulf Coast, north-central Florida, Georgia and the Carolinas; Mid-Atlantic states may see peripheral effects late this weekend"
12,6
48,18
26,24
30,36
None,60
57,84
93,96
None,96
D,D.
D,D.
D,D.
D,D.
A,B.
A,B.
A,B.
A,B.
D,A.
"The provided data does not contain any information for ""Philadelphia Regional Port, PA"". Therefore, it is impossible to answer the question based on the given text.",C.
D,D.
D,D.
No,No
No,No
No,No
No,No
A,A.
D,C.
D,D.
C,D.
0,6
0,18
0,24
0,36
D,B.
D,B.
D,B.
D,B.
A,B.
B,B.
A,B.
B,B.
A,A.
A,B.
A,B.
A,A.
"No additional hazards beyond rainfall, wind, and storm surge are indicated for Philadelphia Regional Port, PA.","Minor river or urban ponding, possible brief logistical delays to truck/rail transfer operations"
"No additional hazards are identified for Philadelphia Regional Port, PA, excluding rainfall, wind, and storm surge.",Minimal; any tornado threat should remain well south of the port.
"No additional hazards are listed for Philadelphia Regional Port, PA.",Brief river current increases and rough seas on approach channels may prompt temporary pilotage or vessel-speed restrictions
"There are no additional hazards associated with the possible future storm at Philadelphia Regional Port, PA, excluding rainfall, wind, and storm surge.",Brief reduction in visibility due to heavy showers; minor river-and-tidal fluctuations but no significant surge or wave action expected.
"```json
{
  ""gale_probability"": {
    ""in 12h"": 30,
    ""in 24h"": 31,
    ""in 48h"": 0,
    ""in 72h"": 0,
    ""in 96h"": 0
  }
}
```","{'in 12h': '0 %', 'in 24h': '0 %', 'in 48h': '≈4 %', 'in 72h': '<1 %', 'in 96h': '0 %'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 0,
    ""in 24h"": 0,
    ""in 48h"": 0,
    ""in 72h"": 0,
    ""in 96h"": 0
  }
}
```","{'in 12h': '0%', 'in 24h': '1%', 'in 48h': '3%', 'in 72h': '3%', 'in 96h': '3%'}"
