response,ground_truth
No,No
A,A.
A,A.
"Cape Lookout to Surf City, North Carolina","Tropical Storm Watch/Warning posted from Mexico Beach to Steinhatchee River, FL"
Florida coast from Cape Canaveral to Jupiter Inlet,"Tropical Storm Warning from Mexico Beach to Steinhatchee River, FL"
"29.0N, 86.3W","29.0N, 86.3W"
NE,NE
21,21 mph
Florida,"Eastern Florida Panhandle tonight, then portions of coastal Georgia and South Carolina Thursday"
GFMX 290N 850W,PANAMA CITY FL
0,4%
0,0%
N/A,12
N/A,N/A
N/A,4%
D,A.
Mexico Beach to Steinhatchee River Florida,"Eastern Florida Panhandle tonight, then portions of coastal Georgia and South Carolina Thursday"
B,B.
C,B.
Florida,"Eastern Florida Panhandle tonight, then portions of coastal Georgia and South Carolina Thursday"
10,6
None,24
D,D.
A,A.
C,B.
No,No
E,B.
0,6
D,D.
B,B.
A,B.
Tornadoes.,Minimal. Primary operational impact will be potential disruptions to shipping lanes east of the Mississippi Delta rather than at the port itself.
"```json
{
  ""gale_probability"": {
    ""in 12h"": 21,
    ""in 24h"": 0,
    ""in 48h"": 0,
    ""in 72h"": 0,
    ""in 96h"": 0
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
09-09-2021,8/29/2021
09-09-2021,9/3/2021
11-09-2021,8/29/2021
2,11
1,6.0
None,1.0
A,D.
