response,ground_truth
No,No
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
B,A.
A,A.
B,A.
C,A.
C,A.
C,A.
C,C.
B,A.
A,A.
C,B.
A,B.
A,C.
C,C.
C,C.
C,C.
A,A.
A,A.
None,None
"Pensacola, Florida to Mobile, Alabama",None
None,
None,Hurricane Watch from the Mississippi/Alabama border eastward to the Alabama/Florida border
None,None
"Mobile Bay, AL to Grand Isle, LA",Hurricane Watch east of Ocean Springs MS to the Alabama/Florida border; Storm Surge Watch MS/AL border to AL/FL border
Mississippi coast to Alabama coast,"Grand Isle, Louisiana to the Alabama/Florida border, including Lake Pontchartrain and Lake Maurepas"
None,Tropical-storm watch from Ochlockonee River FL westward to the Okaloosa/Walton County line FL (Florida Panhandle)
None,"South of Jupiter Inlet to north of Ocean Reef, FL (Atlantic side)"
Indian Pass to Port Fourchon,"Bay St. Louis, MS westward to Grand Isle, LA"
Indian Pass to Mouth of Mississippi River,"Mouth of the Pearl River westward to Grand Isle LA, including Lake Pontchartrain, Lake Maurepas and metropolitan New Orleans"
Anclote Key to Alabama/Florida border,"Morgan City, Louisiana, to Navarre, Florida, including Lake Pontchartrain and Lake Maurepas (metropolitan New Orleans)"
None,"Hurricane Warning from Morgan City, LA, to the Mississippi/Alabama border, including Lake Pontchartrain and Lake Maurepas"
None,"Morgan City, LA to Ocean Springs, MS including Lake Pontchartrain and Lake Maurepas"
None,Hurricane Warning Grand Isle LA to Ocean Springs MS including Lake Pontchartrain & Lake Maurepas; Storm Surge Warning Port Fourchon LA to the MS/AL border including Lakes
Mobile Bay to Mississippi River,"Mouth of the Mississippi River to the Alabama/Florida border, Lake Pontchartrain, Lake Maurepas and Lake Borgne"
None,None in effect at this time
None,None at this time
"29.2N, 88.2W","29.6N, 88.0W"
"28.8N, 88.0W","29.1N, 88.0W"
"28.7N, 87.1W","28.8N, 87.5W"
"28.1N, 86.9W","28.4N, 87.4W"
"27.7N, 85.5W","27.9N, 86.2W"
"26.7N, 83.4W","27.3N, 84.6W"
"25.6N, 81.6W","26.0N, 82.5W"
"25.7N, 80.2W","25.6N, 81.1W"
"25.4N, 79.0W","25.5N, 79.5W"
NW,N
W,NW
WNW,WNW
W,WNW
WNW,WNW
WNW,WNW
W,WNW
WNW,W
WNW,WNW
2,2 mph
3,2 mph
7,5 mph
12,8 mph
12,9 mph
8,13 mph
40,8 mph
8,9 mph
8,8 mph
"Mississippi, Alabama, Florida",North-central Gulf Coast from southeast Louisiana eastward through the western Florida Panhandle
"Alabama, Florida, Mississippi, Louisiana",Northern Gulf Coast from southeast Louisiana through the western Florida Panhandle
"Alabama Coast, Florida Panhandle, Mississippi Coast",northern Gulf Coast from southeast Louisiana through coastal Mississippi and Alabama
"Louisiana, Mississippi, Alabama, Florida",Northern Gulf Coast from southeastern Louisiana eastward across Mississippi and Alabama to the western Florida Panhandle
"Florida, Alabama, Mississippi, Louisiana, Texas",Northern Gulf Coast from southeast Louisiana across Mississippi and Alabama
"Louisiana, Mississippi, Alabama, Florida",Central Gulf Coast from southeast Louisiana through Mississippi and Alabama
"Louisiana, Mississippi, Alabama, Florida","Louisiana, Mississippi and Alabama coasts from the Mississippi River Delta eastward"
Florida,Entire north-central Gulf Coast from Louisiana through the Florida Panhandle
Florida,"Entire northern Gulf Coast from southeast Louisiana eastward through Mississippi, Alabama and Florida Panhandle"
NEW ORLEANS LA,NEW ORLEANS LA
GULFPORT MS,NEW ORLEANS LA
BURAS LA,NEW ORLEANS LA
BURAS LA,NEW ORLEANS LA
BURAS LA,NEW ORLEANS LA
BURAS LA,NEW ORLEANS LA
BURAS LA,NEW ORLEANS LA
BURAS LA,NEW ORLEANS LA
BURAS LA,NEW ORLEANS LA
X,11%
40,33%
0,69%
92,76%
42,79%
79,71%
75,59%
38,33%
28,24%
2,0%
9,3%
15,19%
31,31%
89,44%
44,36%
60,27%
0,11%
5,5%
N/A,24
N/A,24
N/A,96
N/A,12
N/A,96
N/A,72
63,120
N/A,72
N/A,120
N/A,N/A
N/A,24
N/A,96
N/A,24
N/A,96
N/A,72
N/A,120
N/A,96
N/A,120
23,11%
45,13%
48,69%
89,40%
89,79%
27,71%
66,59%
38,15%
28,24%
B,B.
D,D.
C,C.
B,B.
A,A.
A,A.
B,C.
C,B.
D,C.
East of Bay St. Louis Mississippi to Navarre Florida,North-central Gulf Coast from southeast Louisiana eastward through the western Florida Panhandle
the Mouth of the Mississippi River to the Okaloosa/Walton County Line Florida,Northern Gulf Coast from southeast Louisiana through the western Florida Panhandle
Morgan City Louisiana to the Navarre Florida,northern Gulf Coast from southeast Louisiana through coastal Mississippi and Alabama
Morgan City Louisiana to the Mississippi/Alabama Border,Northern Gulf Coast from southeastern Louisiana eastward across Mississippi and Alabama to the western Florida Panhandle
Port Fourchon Louisiana to Ocean Springs Mississippi,Northern Gulf Coast from southeast Louisiana across Mississippi and Alabama
Port Fourchon Louisiana to the Mississippi/Alabama Border,Central Gulf Coast from southeast Louisiana through Mississippi and Alabama
Grand Isle Louisiana to the Alabama/Florida border,"Louisiana, Mississippi and Alabama coasts from the Mississippi River Delta eastward"
Ochlockonee River to Okaloosa/Walton County Line,Entire north-central Gulf Coast from Louisiana through the Florida Panhandle
South Florida,"Entire northern Gulf Coast from southeast Louisiana eastward through Mississippi, Alabama and Florida Panhandle"
C,C.
C,C.
D,D.
B,B.
B,B.
B,B.
B,B.
A,A.
A,A.
D,C.
B,B.
B,B.
A,A.
B,B.
B,B.
A,C.
A,A.
C,B.
Alabama Coast,North-central Gulf Coast from southeast Louisiana eastward through the western Florida Panhandle
Mississippi coast,Northern Gulf Coast from southeast Louisiana through the western Florida Panhandle
Mobile Bay,northern Gulf Coast from southeast Louisiana through coastal Mississippi and Alabama
Louisiana,Northern Gulf Coast from southeastern Louisiana eastward across Mississippi and Alabama to the western Florida Panhandle
Louisiana,Northern Gulf Coast from southeast Louisiana across Mississippi and Alabama
Florida Gulf Coast,Central Gulf Coast from southeast Louisiana through Mississippi and Alabama
Florida Panhandle,"Louisiana, Mississippi and Alabama coasts from the Mississippi River Delta eastward"
Louisiana,Entire north-central Gulf Coast from Louisiana through the Florida Panhandle
Louisiana,"Entire northern Gulf Coast from southeast Louisiana eastward through Mississippi, Alabama and Florida Panhandle"
10,12
19,24
12,36
28,24
24,36
24,48
58,60
24,108
21,92
None,30
19,12
None,48
13,0
None,60
12,24
36,12
102,36
48,24
D,D.
D,D.
D,D.
D,D.
D,D.
C,D.
D,D.
D,D.
D,D.
C,C.
A,C.
C,C.
D,C.
D,C.
C,C.
D,C.
D,B.
D,C.
A,B.
B,B.
B,D.
A,B.
B,D.
C,D.
D,D.
D,D.
D,D.
No,No
Yes,No
No,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,No
No,Yes
A,A.
C,A.
C,A.
C,A.
C,B.
C,B.
C,C.
C,C.
D,D.
36,12
10,24
3,36
3,24
12,36
36,48
72,60
72,108
72,92
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
D,B.
D,B.
D,D.
C,C.
C,C.
C,C.
C,C.
C,C.
C,C.
A,D.
C,C.
C,C.
C,C.
C,C.
C,C.
A,C.
Tornadoes may occur.,Very rough surf on approaches via Mississippi River Passes; brief tornado risk in outer rain-bands
Tornadoes are possible in coastal areas of South Louisiana.,Isolated tornadoes and dangerous surf/rip currents
Tornadoes are possible over coastal areas of southeastern Louisiana.,A few tornadoes possible in outer bands; dangerous waves and rip currents hampering navigation on the lower river and adjacent sounds.
Tornadoes.,Isolated tornadoes in outer rainbands; dangerous surf and rip currents affecting marine approaches
Tornadoes.,Isolated tornadoes beginning Monday afternoon; dangerous surf and rip currents.
"No other hazards are mentioned in the advisory besides rainfall, wind, and storm surge.","Dangerous surf/rip currents, possible river back-water rise along the Mississippi River, and prolonged port closure or restricted operations due to sustained gale conditions."
Tornadoes.,Tornado threat in outer rainbands; dangerous surf and rip currents which may hinder vessel movements and pilot transfers.
"Tornadoes are possible in South Louisiana, LA, Port of.",Dangerous rip currents and minor coastal flooding; isolated tornadoes cannot be ruled out as outer rain bands move inland
"No additional hazards are mentioned for South Louisiana, LA, Port of.",Possible river level rises and restricted vessel traffic on the Mississippi River channel due to high water and strong currents
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""99"",
    ""in 24h"": ""0"",
    ""in 48h"": ""0"",
    ""in 72h"": ""0"",
    ""in 96h"": ""0""
  }
}
```","{'in 12h': '5%', 'in 24h': '11%', 'in 48h': '13%', 'in 72h': '13%', 'in 96h': '13%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 10,
    ""in 24h"": 33,
    ""in 48h"": 5,
    ""in 72h"": 1,
    ""in 96h"": 0
  }
}
```","{'in 12h': '7%', 'in 24h': '13%', 'in 48h': '9%', 'in 72h': '3%', 'in 96h': '1%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""58"",
    ""in 24h"": ""16"",
    ""in 48h"": ""2"",
    ""in 72h"": ""1"",
    ""in 96h"": ""0""
  }
}
```","{'in 12h': '8%', 'in 24h': '37%', 'in 48h': '4%', 'in 72h': '2%', 'in 96h': '0%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 53,
    ""in 24h"": 18,
    ""in 48h"": 4,
    ""in 72h"": 1,
    ""in 96h"": 0
  }
}
```","{'in 12h': '6%', 'in 24h': '46%', 'in 48h': '73%', 'in 72h': '75%', 'in 96h': '76%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 1,
    ""in 24h"": 3,
    ""in 48h"": 3,
    ""in 72h"": 3,
    ""in 96h"": 3
  }
}
```","{'in 12h': '1%', 'in 24h': '14%', 'in 48h': '70%', 'in 72h': '78%', 'in 96h': '78%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 1,
    ""in 24h"": 2,
    ""in 48h"": 1,
    ""in 72h"": 1,
    ""in 96h"": 1
  }
}
```","{'in 12h': '0%', 'in 24h': '1%', 'in 48h': '35%', 'in 72h': '16%', 'in 96h': '4%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""0"",
    ""in 24h"": ""2"",
    ""in 48h"": ""14"",
    ""in 72h"": ""33"",
    ""in 96h"": ""47""
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '10%', 'in 72h': '42%', 'in 96h': '55%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 8,
    ""in 24h"": 15,
    ""in 48h"": 27,
    ""in 72h"": 44,
    ""in 96h"": 46
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '1%', 'in 72h': '15%', 'in 96h': '12%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 14,
    ""in 24h"": 3,
    ""in 48h"": 0,
    ""in 72h"": 1,
    ""in 96h"": 0
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '6%', 'in 96h': '10%'}"
22-09-2020,9/14/2020
15-09-2020,9/14/2020
15-09-2020,9/14/2020
14-09-2020,9/14/2020
14-09-2020,9/14/2020
15-09-2020,9/14/2020
14-09-2020,9/14/2020
14-09-2020,9/14/2020
13-09-2020,9/14/2020
22-09-2020,9/14/2020
16-09-2020,9/14/2020
16-09-2020,9/14/2020
15-09-2020,9/14/2020
14-09-2020,9/14/2020
14-09-2020,9/14/2020
14-09-2020,9/14/2020
14-09-2020,9/14/2020
14-09-2020,9/14/2020
20-09-2020,9/14/2020
20-09-2020,9/14/2020
20-09-2020,9/14/2020
20-09-2020,9/14/2020
17-09-2020,9/14/2020
16-09-2020,9/14/2020
17-09-2020,9/14/2020
17-09-2020,9/14/2020
16-09-2020,9/14/2020
3,2
3,2
4,2
4,2
3,2
3,2
5,2
3,2
4,2
3,2.0
2,2.0
5,2.0
3,2.0
2,2.0
3,2.0
4,2.0
2,2.0
3,2.0
0,0.296798023
25,0.296798023
30,0.296798023
50,0.296798023
60,0.296798023
10,0.296798023
44,0.296798023
15,0.296798023
15,0.296798023
A,C.
A,C.
D,C.
A,C.
A,C.
C,C.
D,C.
D,C.
B,C.
