response,ground_truth
Yes,Yes
B,A.
B,A.
None,None
None,None
"25.6N, 94.4W","25.6N, 94.4W"
N,N
16,16 mph
"Louisiana, Mississippi, Alabama, Florida",Northern Gulf Coast from southeast Texas across Louisiana and Mississippi
LAFAYETTE LA,NEW ORLEANS LA
18,6%
0,<1%
N/A,9
N/A,N/A
18,6%
A,A.
northwestern Gulf of Mexico,Northern Gulf Coast from southeast Texas across Louisiana and Mississippi
A,A.
A,A.
Louisiana Coast,Northern Gulf Coast from southeast Texas across Louisiana and Mississippi
71,16
76,24
C,D.
A,B.
B,B.
No,No
B,B.
12,16
A,B.
D,B.
C,C.
Tornadoes are possible across southeast portions of Louisiana.,Isolated tornadoes Friday night; lightning and squalls could halt cargo handling
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""18"",
    ""in 24h"": ""0"",
    ""in 48h"": ""0"",
    ""in 72h"": ""0"",
    ""in 96h"": ""0""
  }
}
```","{'in 12h': '0%', 'in 24h': '6%', 'in 48h': '6%', 'in 72h': '6%', 'in 96h': '6%'}"
26-10-2019,None
26-10-2019,None
26-10-2019,None
3,0
1,None
15,None
B,A.
