response,ground_truth
No,No
A,A.
A,A.
None,"Mexico Beach to Steinhatchee River, FL (Tropical Storm Watch area)"
None,"Mexico Beach to Steinhatchee River, FL (Tropical Storm Warning in effect)"
"29.0N, 86.3W","29.0N, 86.3W"
NE,NE
21,21 mph
"Florida, Georgia, South Carolina, North Carolina","Florida Panhandle coast tonight, then coastal Georgia and South Carolina Thursday"
GAINESVILLE FL,CEDAR KEY FL
X,5
X,0
N/A,9
N/A,N/A
N/A,4
C,B.
Mexico Beach to Steinhatchee River Florida,"Florida Panhandle coast tonight, then coastal Georgia and South Carolina Thursday"
B,B.
D,A.
Florida,"Florida Panhandle coast tonight, then coastal Georgia and South Carolina Thursday"
13,8
4,24
D,D.
A,B.
"This question cannot be answered from the provided text. The text does not include wind speed probabilities for Tampa Port Authority, FL.",B.
No,No
D,A.
6,8
D,B.
A,A.
B,A.
Tornadoes.,Low chance of an isolated tornado in outer rain bands
"```json
{
  ""gale_probability"": {
    ""in 12h"": 22,
    ""in 24h"": 0,
    ""in 48h"": 0,
    ""in 72h"": 0,
    ""in 96h"": 0
  }
}
```","{'in 12h': '4%', 'in 24h': '1%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
10-09-2021,None
09-09-2021,None
10-09-2021,None
1,0
0,None
0,None
A,A.
