response,ground_truth
Yes,No
,A.
B,A.
,"Tropical Storm Watch/Warning posted from Mexico Beach to Steinhatchee River, FL"
Wilmington to Charleston,"Tropical Storm Warning from Mexico Beach to Steinhatchee River, FL"
"29.0N, 86.3W","29.0N, 86.3W"
,NE
21,21 mph
"Florida
Georgia
South Carolina
North Carolina","Eastern Florida Panhandle tonight, then portions of coastal Georgia and South Carolina Thursday"
GFMX,PANAMA CITY FL
,4%
,0%
N/A,12
N/A,N/A
,4%
D,A.
Mexico Beach to Steinhatchee River,"Eastern Florida Panhandle tonight, then portions of coastal Georgia and South Carolina Thursday"
B,B.
A,B.
,"Eastern Florida Panhandle tonight, then portions of coastal Georgia and South Carolina Thursday"
25,6
24,24
B,D.
C,A.
D,B.
No,No
,B.
0,6
D,D.
A,B.
B,B.
Tornadoes are possible.,Minimal. Primary operational impact will be potential disruptions to shipping lanes east of the Mississippi Delta rather than at the port itself.
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""18"",
    ""in 24h"": ""X"",
    ""in 48h"": ""X"",
    ""in 72h"": ""X"",
    ""in 96h"": ""X""
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
,8/29/2021
09-09-2021,9/3/2021
09-09-2021,8/29/2021
3,11
0,6.0
None,1.0
A,D.
