response,ground_truth
,No
Yes,No
Yes,No
Yes,No
,No
Yes,No
,Yes
C,A.
,A.
B,A.
C,A.
B,A.
B,A.
,A.
C,A.
C,A.
C,A.
B,A.
B,A.
B,A.
Corpus Christi to Melbourne,Hurricane Watch: Intracoastal City LA to the mouth of the Pearl River (LA-MS); Tropical Storm Watch: none for TX coast
,Hurricane Watch: Intracoastal City LA to the Mouth of the Pearl River. Tropical Storm Watch: none west of Cameron LA.
,Storm Surge Watch is posted Sabine Pass TX to Rockefeller Wildlife Refuge LA (includes the Beaumont/Port Arthur area)
Havana to Providencia,"Storm Surge Watch is in effect from Sabine Pass (near Beaumont) to Rockefeller Wildlife Refuge, LA, and for Mobile Bay"
,Sabine Pass TX eastward to the Alabama/Florida border
Brownsville to Florida,No watches in effect along the U.S. Gulf Coast as of Advisory #2
Mexico to Bahamas,
Corpus Christi to Wilmington,Hurricane Warning: Intracoastal City LA to the mouth of the Pearl River; Tropical Storm Warning: Cameron LA to west of Intracoastal City LA and mouth of Pearl River to AL/FL border
,"Hurricane Warning: Intracoastal City LA to Mouth of Pearl River, including Metro New Orleans. Tropical Storm Warning: Cameron LA to west of Intracoastal City LA and eastward to the AL/FL border."
,"No Tropical Storm or Hurricane warnings currently extend into Texas; warnings begin at Cameron, LA eastward"
Louisiana to South Carolina,"Hurricane Warning Intracoastal City, LA to Mouth of the Pearl River; Storm Surge Warning east of Rockefeller Wildlife Refuge, LA to MS/AL border including Lake Borgne, Lake Pontchartrain, and Lake Maurepas"
