response,ground_truth
No,Yes
B,A.
C,A.
"Based on the Track Forecast Cone, the coastal areas under Tropical Storm and Hurricane watches are:

Fort Lauderdale to Jupiter, FL to Key West, FL",None – no tropical watches in effect
"Based on the Track Forecast Cone from National Hurricane Center, I can see that the coastal areas under Tropical Storm and Hurricane warnings are:

Tampa to Englewood",None – no tropical warnings in effect
"23.5N, 85.2W","25.6N, 94.4W"
WNW,N (010°)
30,16 mph
Florida,"Northern Gulf Coast from southeast Texas through coastal Louisiana, Mississippi, and Alabama"
STENNIS,JACKSON MS (closest listed point in wind-probability table to the storm track north of the Gulf)
1%,12%
1,0%
N/A,24
N/A,N/A
N/A,10%
"B. Houston Port Authority, TX",A.
Northern Gulf coast,"Northern Gulf Coast from southeast Texas through coastal Louisiana, Mississippi, and Alabama"
A,A.
B,A.
Florida,"Northern Gulf Coast from southeast Texas through coastal Louisiana, Mississippi, and Alabama"
23,18
144,24
D,D.
D,B.
D,B.
No,No
D,B.
48,18
D,B.
B,B.
D,D.
Isaias,Isolated tornadoes possible on the south/east side of the low as it crosses Indiana
"{
""gale_probability"": {
  ""in 12h"": 3,
  ""in 24h"": 2,
  ""in 48h"": 1,
  ""in 72h"": X,
  ""in 96h"": X
}
}","{'in 12h': '0%', 'in 24h': '10%', 'in 48h': '2%', 'in 72h': '0%', 'in 96h': '0%'}"
29-10-2019,None
26-10-2019,None
27-10-2019,None
2,0
3,None
None,None
D,A.
