response,ground_truth
NO,No
C. Hurricane,A.
B,A.
"Based on the Track Forecast Cone from National Hurricane Center, I can see that the coastal areas under Tropical Storm (TS) and Hurricane Watch are:

Miami Beach to West Palm Beach Florida

Please note that this information is based solely on the provided image and may not reflect the actual track or warning issued by the National Hurricane Center.",None
"Based on the Track Forecast Cone from National Hurricane Center, I can see that the coastal areas under Tropical Storm (TS) and Hurricane warning are:

Florida Keys to Ackerman Creek, Florida",None
"24.5N, 86.2W","25.6N, 94.4W"
WNW,N
35,16 mph
Florida,northern Gulf Coast from the TX/LA border eastward through Mississippi and Alabama
CAMERON LA,LAKE CHARLES LA
10,5%
2,0%
N/A,12
N/A,N/A
N/A,5%
C,D.
Northern Gulf coast,northern Gulf Coast from the TX/LA border eastward through Mississippi and Alabama
B,A.
B,D.
Gulf Coast,northern Gulf Coast from the TX/LA border eastward through Mississippi and Alabama
11,18
72,0
D,D.
D,B.
B,B.
No,No
D,A.
Tonight or Saturday morning.,18
B,B.
C,B.
C,B.
TORNADOES,Minimal coastal flooding possible at high tide and isolated brief tornadoes well east of the port; operational disruption risk is low.
"Here is the JSON format answer:

{
""gale_probability"": {
""in 12h"": ""19"",
""in 24h"": ""22"",
""in 48h"": ""..."", // Not available in the given data
""in 72h"": ""..."", // Not available in the given data
""in 96h"": ""...""
}
}","{'in 12h': '≤5%', 'in 24h': '≤5%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
29-10-2019,10/26/2019
27-10-2019,10/26/2019
26-10-2019,10/26/2019
2,2
1,2.0
34,0.278362642
D,D.
