response,ground_truth
Yes,No
B,A.
B,A.
"Based on the Track Forecast Cone, I can identify the following coastal areas under Tropical Storm (TS) and Hurricane watch:

**Tropical Storm Watch:**
None
**Hurricane Watch:**
Florida Keys to Boca Raton Florida","Tropical-storm watch/warning limited to Mexico Beach to Steinhatchee River, FL (Big Bend/Panhandle)"
Tampa Bay to Flagler Beach FL.,"Tropical-storm warning from Mexico Beach to Steinhatchee River, FL"
"20.8N, 83.5W","29.0N, 86.3W"
WNW,NE
30,21 mph
Florida,"Florida Panhandle and Big Bend tonight, then the coasts of Georgia and South Carolina on Thursday"
PANAMA CITY FL,CEDAR KEY FL
1,5%
1,0%
72,6
N/A,N/A
3,5%
C,C.
Florida Panhandle,"Florida Panhandle and Big Bend tonight, then the coasts of Georgia and South Carolina on Thursday"
B,B.
C,C.
The Carolinas,"Florida Panhandle and Big Bend tonight, then the coasts of Georgia and South Carolina on Thursday"
"According to the Track Forecast Cone from National Hurricane Center, I see that the cyclone is currently positioned at... Let me check... Ah yes! It says here that it's expected to make landfall in approximately 72 hours!",8
72,18
C,D.
D,B.
C,B.
No,No
B,A.
6,8
B,B.
D,B.
C,B.
"Isolated tornadoes are possible over Manatee County Port, FL, this evening into tomorrow morning.",Low tornado risk mainly well north of the port
"Here is the answer in JSON format:

{
  ""gale_probability"": {
    ""in 12h"": 1,
    ""in 24h"": 17,
    ""in 48h"": 7,
    ""in 72h"": X (less than 1%),
    ""in 96h"": X (less than 1%)
  }
}","{'in 12h': '4%', 'in 24h': '1%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
09-08-2021,None
11-09-2021,None
09-10-2021,None
5,0
4,None
1%,None
B. 10-20 vessels,A.
