response,ground_truth
No,Yes
A,A.
A,A.
Florida to Louisiana,None
Florida to Louisiana,None
"25.6N, 94.4W","25.6N, 94.4W"
N,N
16,16 mph
Louisiana,coasts of southeast and central Louisiana and coastal Mississippi
NEW IBERIA LA,NEW ORLEANS LA
10,6%
0,<1%
120,18
N/A,
N/A,6%
D,D.
Louisiana,coasts of southeast and central Louisiana and coastal Mississippi
A,A.
A,A.
Florida,coasts of southeast and central Louisiana and coastal Mississippi
120,12
12,24
C,D.
D,B.
D,B.
No,No
D,B.
16,12
B,B.
B,D.
C,C.
Tornadoes are possible across southeast portions of Louisiana and Mississippi into southwest Alabama.,Isolated tornadoes possible Friday night through Saturday morning
"{
  ""gale_probability"": {
    ""in 12h"": ""10"",
    ""in 24h"": ""15"",
    ""in 48h"": ""20"",
    ""in 72h"": ""25"",
    ""in 96h"": ""30""
  }
}","{'in 12h': '0%', 'in 24h': '6%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
25-10-2019,None
25-10-2019,None
29-10-2019,None
2,0
0,None
None,None
B,A.
