response,ground_truth
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
B,A.
B,A.
B,A.
B,B.
B,B.
A,B.
B,B.
B,B.
B,A.
B,A.
Mississippi to Florida,None
Mississippi to Louisiana,None
Louisiana coast to Mississippi coast,None in effect (all converted to warnings)
Galveston to Freeport,West of Cameron LA to High Island TX
Houston to Mobile,"west of Intracoastal City, LA to High Island, TX"
None,"San Luis Pass, Texas to the mouth of the Mississippi River"
Louisiana to Florida,"San Luis Pass, TX eastward to the Alabama-Florida border, including Metropolitan New Orleans and Lake Pontchartrain"
Galveston to Louisiana,"San Luis Pass, TX eastward to the Mouth of the Pearl River, LA (includes Lake Charles area)"
Galveston to Freeport,Cameron LA to the Mouth of the Pearl River MS/LA
Bay St. Louis to Pass Christian,"Intracoastal City, LA to the Mouth of the Pearl River"
"27.6N, 92.6W","28.2N, 93.2W"
"26.4N, 91.0W","27.3N, 91.9W"
"25.9N, 90.5W","25.7N, 90.6W"
"24.4N, 89.5W","24.8N, 90.1W"
"24.7N, 88.7W","24.7N, 88.7W"
NW,NW
NW,NW
NW,Stationary (expected to resume NW tonight)
NNW,NW
S,N
10,9 mph
7,8 mph
10,0 mph (will increase to ~10 mph toward NW)
8,8 mph
9,9 mph
Mississippi,central Texas coast eastward through Louisiana and into the western Florida Panhandle
Louisiana,northern Gulf Coast from the central Texas coast to the western Florida Panhandle
Louisiana,South‐central Texas coast eastward across southern and southwestern Louisiana and into the western Florida Panhandle
Louisiana,Central Texas coast eastward across all of Louisiana to the western Florida Panhandle
Louisiana,U.S. Gulf Coast from the central Texas coast to the western Florida Panhandle
LAKE CHARLES,LAKE CHARLES LA
LAKE CHARLES,LAKE CHARLES
LAKE CHARLES,LAKE CHARLES
LAKE CHARLES,LAKE CHARLES
LAKE CHARLES,LAKE CHARLES
75,75%
55,55%
42,42%
27,27%
29,29%
9,9%
8,8%
3,3%
4,4%
4,5%
75,18
55,24
42,96
27,60
29,55
96,24
8,24
3,48
4,60
29,55
74,39%
55,33%
42,42%
27,11%
29,11%
C,A.
D,D.
D,D.
B,B.
A,A.
southeastern Texas or southwestern Louisiana,central Texas coast eastward through Louisiana and into the western Florida Panhandle
Louisiana,northern Gulf Coast from the central Texas coast to the western Florida Panhandle
Louisiana,South‐central Texas coast eastward across southern and southwestern Louisiana and into the western Florida Panhandle
Louisiana coast,Central Texas coast eastward across all of Louisiana to the western Florida Panhandle
Louisiana Coast,U.S. Gulf Coast from the central Texas coast to the western Florida Panhandle
B,B.
B,B.
B,B.
B,B.
B,B.
B,C.
B,B.
B,C.
C,C.
C,C.
Louisiana,central Texas coast eastward through Louisiana and into the western Florida Panhandle
Louisiana,northern Gulf Coast from the central Texas coast to the western Florida Panhandle
Louisiana,South‐central Texas coast eastward across southern and southwestern Louisiana and into the western Florida Panhandle
Louisiana,Central Texas coast eastward across all of Louisiana to the western Florida Panhandle
Louisiana,U.S. Gulf Coast from the central Texas coast to the western Florida Panhandle
120,12
100,20
10,30
12,40
120,45
10,36
10,24
10,0
12,60
24,36
C,D.
D,D.
D,D.
D,D.
C,D.
D,C.
D,B.
D,C.
D,C.
D,B.
D,B.
C,B.
C,D.
C,D.
C,D.
No,Yes
Yes,Yes
No,Yes
Yes,No
Yes,No
C,A.
C,A.
C,B.
C,B.
C,B.
12,12
12,20
24,30
12,40
24,45
B,B.
B,B.
B,B.
A,A.
A,B.
B,A.
B,D.
B,B.
B,A.
B,A.
C,D.
C,D.
"Tornadoes are possible into tonight from the far western Florida Panhandle across southwestern Alabama, southern Mississippi, and southern Louisiana.",Isolated tornadoes possible in outer rain bands
Tornadoes are possible in the area.,Isolated tornadoes in outer rainbands; short-period visibility restrictions and lightning affecting port operations
Isolated tornadoes are possible this evening and tonight from south-central Louisiana to the western Florida Panhandle.,Isolated tornadoes possible as outer rain bands move onshore
Tornadoes are possible from south-central Louisiana to the western Florida Panhandle.,Isolated tornadoes Wednesday afternoon through Wednesday night; brief reduced visibility and lightning affecting navigation.
"Flooding from heavy rainfall and potential storm surge could impact the Lake Charles Harbor District, LA.",Elevated seas and dangerous rip currents in the approaches; reduced visibilities in squalls may disrupt vessel movements.
"{
  ""gale_probability"": {
    ""in 12h"": ""3"",
    ""in 24h"": ""6"",
    ""in 48h"": ""7"",
    ""in 72h"": ""1"",
    ""in 96h"": ""1""
  }
}","{'in 12h': '35%', 'in 24h': '74%', 'in 48h': '75%', 'in 72h': '75%', 'in 96h': '75%'}"
"```json
{
  ""gale_force_probability"": {
    ""12_hours"": ""10%"",
    ""24_hours"": ""20%"",
    ""48_hours"": ""30%"",
    ""72_hours"": ""40%"",
    ""96_hours"": ""50%""
  }
}
```","{'in 12h': '6%', 'in 24h': '20%', 'in 48h': '55%', 'in 72h': '55%', 'in 96h': '55%'}"
"```json
{
  ""gale_force_probability"": {
    ""12_hours"": ""1"",
    ""24_hours"": ""1"",
    ""48_hours"": ""1"",
    ""72_hours"": ""1"",
    ""96_hours"": ""1""
  }
}
```","{'in 12h': '1%', 'in 24h': '8%', 'in 48h': '25%', 'in 72h': '39%', 'in 96h': '42%'}"
"```json
{
  ""gale_force_probabilities"": {
    ""12"": ""X"",
    ""24"": ""2(2)"",
    ""48"": ""1(3)"",
    ""72"": ""X(3)"",
    ""96"": ""X(3)""
  }
}
```","{'in 12h': '2%', 'in 24h': '6%', 'in 48h': '15%', 'in 72h': '26%', 'in 96h': '27%'}"
"```json
{
  ""gale_force_probability"": {
    ""12_hours"": ""X( 1)"",
    ""24_hours"": ""X( 1)"",
    ""48_hours"": ""X( 1)"",
    ""72_hours"": ""X( 1)"",
    ""96_hours"": ""X( 1)""
  }
}
```","{'in 12h': '0%', 'in 24h': '2%', 'in 48h': '9%', 'in 72h': '11%', 'in 96h': '1%'}"
21-06-2017,6/19/2017
21-06-2017,6/19/2017
01-06-2017,6/19/2017
20-06-2017,6/19/2017
21-06-2017,6/19/2017
21-06-2017,6/19/2017
21-06-2017,6/19/2017
22-06-2017,6/19/2017
